종목명,BPS,EPS,SPS,ROE,영업이익률,순이익률,매출액증가율,유동자산증가율,총자산증가율,부채비율,비유동부채비율,유동부채비율
힘스,98348.33410318996,3209.2394441498623,0.0,84.66238460156532,45.00256648739748,35.49327622232845,630.5399911938568,500.16917648673626,328.33513308385733,918.0997101848492,122.46168814863358,795.6380220362157
줌인터넷,16683.22822876947,-31.108722985371287,1281.120963557168,-78.24639198971403,30.41076559762905,-143.41264658093877,37.3055336513728,161.4649789429991,141.91210673870708,727.6164658296389,380.1417372705897,347.474728559049
에이치엘사이언스,266883.70429182454,4519.844369623244,43844.57067039498,58.43187075926666,258.1360567057668,275.4962427066797,224.777437020477,-0.7599688616829141,140.27474205892588,306.6990170989585,27.951852231801904,278.7471648671566
피엔에이치테크,29657.95339256747,406.40374876803776,6946.030370430384,16.53000444410543,157.95214977986953,150.26689122342123,1081.8229061663096,570.2405369650567,430.7884002467864,1206.6776476296939,233.15928020423755,973.5183674254562
원익IPS,218399.94374018104,8271.740872508344,54471.39343907829,122.27483292023985,245.4727530945833,226.41028731462396,768.6309390055782,747.0883622810077,610.9632409187744,1489.820298302858,109.16152667218671,1380.6587716306713
DSC인베스트먼트,0.0,0.0,0.0,2.318337804566116,45.11782965544862,36.32228106535621,-14.29970309646565,-0.4326414225151454,5.832670836318399,33.81670043868756,6.19038598791234,27.62631445077523
두산밥캣,628287.7977659977,7639.0350270504005,122298.37068984553,37.01994097998591,311.7985898114537,207.50509755533585,573.7860772107157,420.339785866802,200.90457674507485,2288.6611811975667,1422.795078144965,865.8661030526027
화승엔터프라이즈,133991.2287274144,780.9734561383849,49631.97028487467,29.85659761008049,115.82594605709664,54.76219488288534,406.5313201474053,412.06180117902653,342.54645686043335,3965.76507939762,487.6066421874916,3478.1584372101283
유니테크노,62801.21044624955,973.5693936808244,9971.607474763276,46.34973708511311,251.020519735568,251.80588784788554,191.95582077456066,189.17105151513994,202.24835748912488,1501.7548336124685,595.7533958709306,928.5917678838672
코스메카코리아,254373.7150137641,3412.9517492509362,88425.7768485487,44.99883107880671,112.79969001212991,86.72902740949422,540.7801953112564,390.7715496031879,397.33276018435697,2307.001505087379,653.5187614967986,1653.4827435905804
