종목명,variable,value
GRT,유사종목_5,헝셩그룹
GS,유사종목_1,신대양제지
GS,유사종목_2,현대제철
GS,유사종목_3,롯데지주
GS,유사종목_4,미원홀딩스
GS,유사종목_5,효성
GST,유사종목_1,원익QnC
GST,유사종목_2,신흥에스이씨
GST,유사종목_3,삼진
GST,유사종목_4,이엠텍
GST,유사종목_5,비비안
GS건설,유사종목_1,효성중공업
GS건설,유사종목_2,풍산
GS건설,유사종목_3,사조대림
GS건설,유사종목_4,한신공영
GS건설,유사종목_5,빙그레
GS글로벌,유사종목_1,에코플라스틱
GS글로벌,유사종목_2,아이티센
GS글로벌,유사종목_3,서진오토모티브
GS글로벌,유사종목_4,피씨디렉트
GS글로벌,유사종목_5,도이치모터스
GS리테일,유사종목_1,대상홀딩스
GS리테일,유사종목_2,HL만도
GS리테일,유사종목_3,대동금속
GS리테일,유사종목_4,하림지주
GS리테일,유사종목_5,대한제당
GS우,유사종목_1,솔루스첨단소재2우B
GS우,유사종목_2,SK네트웍스우
GS우,유사종목_3,IBKS제17호스팩
GS우,유사종목_4,한양증권우
GS우,유사종목_5,유안타증권우
HB솔루션,유사종목_1,원준
HB솔루션,유사종목_2,바디텍메드
HB솔루션,유사종목_3,스틱인베스트먼트
HB솔루션,유사종목_4,대모
HB솔루션,유사종목_5,에이치케이
HB테크놀러지,유사종목_1,나이스디앤비
HB테크놀러지,유사종목_2,마이크로컨텍솔
HB테크놀러지,유사종목_3,진양폴리
HB테크놀러지,유사종목_4,좋은사람들
HB테크놀러지,유사종목_5,오픈베이스
HDC,유사종목_1,SNT모티브
HDC,유사종목_2,휴스틸
HDC,유사종목_3,쿠쿠홀딩스
HDC,유사종목_4,SKC
HDC,유사종목_5,한일시멘트
HDC랩스,유사종목_1,코미코
HDC랩스,유사종목_2,SG&G
HDC랩스,유사종목_3,쿠쿠홈시스
HDC랩스,유사종목_4,리드코프
HDC랩스,유사종목_5,율촌화학
HDC현대EP,유사종목_1,남해화학
HDC현대EP,유사종목_2,에코프로비엠
HDC현대EP,유사종목_3,케이피에프
HDC현대EP,유사종목_4,해태제과식품
HDC현대EP,유사종목_5,비에이치
