종목명,variable,value
KH바텍,유사종목_5,코스맥스비티아이
KISCO홀딩스,유사종목_1,아모레G
KISCO홀딩스,유사종목_2,KPX홀딩스
KISCO홀딩스,유사종목_3,대성미생물
KISCO홀딩스,유사종목_4,삼영무역
KISCO홀딩스,유사종목_5,POSCO홀딩스
KNN,유사종목_1,세명전기
KNN,유사종목_2,티비씨
KNN,유사종목_3,와토스코리아
KNN,유사종목_4,수산아이앤티
KNN,유사종목_5,슈프리마아이디
KPX생명과학,유사종목_1,핸디소프트
KPX생명과학,유사종목_2,용평리조트
KPX생명과학,유사종목_3,유엔젤
KPX생명과학,유사종목_4,동양파일
KPX생명과학,유사종목_5,앤디포스
KPX케미칼,유사종목_1,세아베스틸지주
KPX케미칼,유사종목_2,예스코홀딩스
KPX케미칼,유사종목_3,삼양사
KPX케미칼,유사종목_4,삼성에스디에스
KPX케미칼,유사종목_5,조흥
KPX홀딩스,유사종목_1,KISCO홀딩스
KPX홀딩스,유사종목_2,대성미생물
KPX홀딩스,유사종목_3,아모레G
KPX홀딩스,유사종목_4,에스엠
KPX홀딩스,유사종목_5,삼영무역
KR모터스,유사종목_1,아이엘사이언스
KR모터스,유사종목_2,유니슨
KR모터스,유사종목_3,한창
KR모터스,유사종목_4,참엔지니어링
KR모터스,유사종목_5,영우디에스피
KSS해운,유사종목_1,KX
KSS해운,유사종목_2,보락
KSS해운,유사종목_3,인선이엔티
KSS해운,유사종목_4,더존비즈온
KSS해운,유사종목_5,신진에스엠
KT,유사종목_1,노루홀딩스
KT,유사종목_2,삼현철강
KT,유사종목_3,이엠텍
KT,유사종목_4,LG에너지솔루션
KT,유사종목_5,부산산업
KT&G,유사종목_1,ISC
KT&G,유사종목_2,네오위즈
KT&G,유사종목_3,지오엘리먼트
KT&G,유사종목_4,빅솔론
KT&G,유사종목_5,웹젠
KTcs,유사종목_1,아주스틸
KTcs,유사종목_2,엠씨넥스
KTcs,유사종목_3,코오롱
KTcs,유사종목_4,그래디언트
KTcs,유사종목_5,한성기업
KTis,유사종목_1,대우조선해양
KTis,유사종목_2,해태제과식품
KTis,유사종목_3,광동제약
KTis,유사종목_4,파트론
KTis,유사종목_5,파워넷
KT서브마린,유사종목_1,지씨셀
KT서브마린,유사종목_2,미래산업
KT서브마린,유사종목_3,아미코젠
KT서브마린,유사종목_4,대웅
KT서브마린,유사종목_5,SK케미칼
KX,유사종목_1,인선이엔티
KX,유사종목_2,폴라리스우노
KX,유사종목_3,파이오링크
KX,유사종목_4,KSS해운
KX,유사종목_5,더존비즈온
KX하이텍,유사종목_1,DB
KX하이텍,유사종목_2,한솔아이원스
KX하이텍,유사종목_3,세화피앤씨
KX하이텍,유사종목_4,뉴파워프라즈마
KX하이텍,유사종목_5,광명전기
LF,유사종목_1,녹십자
LF,유사종목_2,세방전지
LF,유사종목_3,한국단자
LF,유사종목_4,한창산업
LF,유사종목_5,동화기업
LG,유사종목_1,슈프리마
LG,유사종목_2,셀트리온
LG,유사종목_3,더블유씨피
LG,유사종목_4,액토즈소프트
LG,유사종목_5,풍산홀딩스
LG디스플레이,유사종목_1,현대중공업
LG디스플레이,유사종목_2,SGC에너지
LG디스플레이,유사종목_3,신송홀딩스
LG디스플레이,유사종목_4,유라테크
LG디스플레이,유사종목_5,대원강업
LG생활건강,유사종목_1,동국제약
LG생활건강,유사종목_2,GST
LG생활건강,유사종목_3,샘표식품
LG생활건강,유사종목_4,미원화학
LG생활건강,유사종목_5,이엔에프테크놀로지
LG에너지솔루션,유사종목_1,동우팜투테이블
LG에너지솔루션,유사종목_2,부산산업
LG에너지솔루션,유사종목_3,이엠텍
LG에너지솔루션,유사종목_4,HDC현대산업개발
LG에너지솔루션,유사종목_5,KT
LG유플러스,유사종목_1,한농화성
LG유플러스,유사종목_2,사조오양
LG유플러스,유사종목_3,대원미디어
LG유플러스,유사종목_4,하이트진로
LG유플러스,유사종목_5,디와이파워
