종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"192410","휴림네트웍스","KOSDAQ","통신장비","790","52","7.05","85949124400"
"090710","휴림로봇","KOSDAQ","기계·장비","2830","-85","-2.92","463485225340"
"205470","휴마시스","KOSDAQ","제약","15710","1110","7.60","532731362850"
"115160","휴맥스","KOSDAQ","통신장비","4080","100","2.51","179398105920"
"028080","휴맥스홀딩스","KOSDAQ","컴퓨터서비스","6150","800","14.95","77351661900"
"032860","휴먼엔","KOSDAQ","기타서비스","3640","0","0.00","65288375880"
"200670","휴메딕스","KOSDAQ","제약","27000","150","0.56","273627828000"
"065510","휴비츠","KOSDAQ","의료·정밀기기","10620","20","0.19","126275740020"
"215090","휴센텍","KOSDAQ","의료·정밀기기","1505","0","0.00","120843123170"
"263920","휴엠앤씨","KOSDAQ","기타제조","1051","-22","-2.05","51546435834"
"243070","휴온스","KOSDAQ","제약","33050","100","0.30","394469894450"
"084110","휴온스글로벌","KOSDAQ","제약","20650","-150","-0.72","260633809800"
"145020","휴젤","KOSDAQ","제약","130000","800","0.62","1610109150000"
"024060","흥구석유","KOSDAQ","유통","5980","80","1.36","89700000000"
"010240","흥국","KOSDAQ","기계·장비","6330","-70","-1.09","78002665680"
"189980","흥국에프엔비","KOSDAQ","음식료·담배","2930","0","0.00","117603833110"
"037440","희림","KOSDAQ","기타서비스","10140","-210","-2.03","141173896500"
"238490","힘스","KOSDAQ","반도체","6130","-10","-0.16","69344006680"
